ECV;Product;Dataset(s);Title of reference;Author(s) of reference;Year of publication;DOI (reference);Keywords
Fires;;;;;;;
Permafrost;;;;;;;
Inorganic Carbon;surface partial pressure of CO2;"SOCATv2; ETH SOM-FFN";An update to the Surface Ocean CO2 Atlas (SOCAT version 2);Bakker, D.C.E., et al.;2014;"https://doi.org/10.5194/essd-6-69-2014
http://cdiac.ess-dive.lbl.gov/ftp/oceans/spco2_1998_2011_ETH_SOM-FFN";
Transient Tracers;;;;;;;
Ocean Color;;;;;;;
Sea State;wave height;ERA40 ; Calibration of a new wind-wave hindcast in the Western Mediterranean;Mart¡nez-Asensio, A., et al.;2013;https://doi.org/10.1016/j.jmarsys.2013.04.006;"Wind-wave hindcast; SWH calibration; Mediterranean Sea"
Sea State;wave height;"ERA40; NOAA WWIII";Waves and climate change on the Australian coast;Hemer, M., et al.;2007;https://www.researchgate.net/publication/228909967_Waves_and_Climate_Change_on_the_Australian_Coast;Climatology, waves, Australia
Subsurface Currents;subsurface current;ARGO GDAC; Intermediate Zonal Jets in the Tropical Pacific Ocean Observed by Argo Floats;Cravatte, S., et al.;2012;https://doi.org/10.1175/JPO-D-11-0206.1;"Pacific Ocean; Argo; subsurface currents; intermediate waters"
Subsurface Currents;subsurface current;"AVISO; GLORIS1V1; ANDRO";A new estimate of the global 3D geostrophic ocean circulation based on satellite data and in-situ measurements;Mulet, S., et al.;2012;https://doi.org/10.1016/j.dsr2.2012.04.012;"geostrophic flow; medirional oceanic circulation; theral wind equation; altimetry; in situ measurements"
Subsurface Currents;subsurface current;CEPOM;Transport estimates at the western section of the Strait of Gibraltar: A combined experimental and numerical modeling study;Sanchez-Roman, A., et al.;2009;https://doi.org/10.1029/2008JC005023;"Strait of Gibraltar; in situ measurements; numerical model; 3D currents"
Subsurface Currents;subsurface current;SAMPA;Reconstruction of transports through the Strait of Gibraltar from limited observations;Jord…, G., et al.;2017;https://doi.org/10.1007/s00382-016-3113-8;"Gibraltar Strait; Mediterrean Sea; transports; reconstruction"
Subsurface Salinity;;;;;;;
Subsurface Temperature;;;;;;;
